community,future,tech,win_rate,avg_rank
Madagascar,Baseline,RO,0.0,2.7329916666666665
Madagascar,Baseline,HDH,0.0,2.2670083333333335
Madagascar,Baseline,MSPD,1.0,1.0
Madagascar,EnergyPriceSpike,RO,0.0,2.753125
Madagascar,EnergyPriceSpike,HDH,0.0,2.246875
Madagascar,EnergyPriceSpike,MSPD,1.0,1.0
Madagascar,RenewablesCheaper,RO,0.0,2.72443
Madagascar,RenewablesCheaper,HDH,0.0,2.27557
Madagascar,RenewablesCheaper,MSPD,1.0,1.0
Madagascar,BrineRegTightens,RO,0.0,2.72045
Madagascar,BrineRegTightens,HDH,0.0,2.27955
Madagascar,BrineRegTightens,MSPD,1.0,1.0
Madagascar,TechLearning,RO,0.0,2.793841666666667
Madagascar,TechLearning,HDH,0.00036,2.2057983333333335
Madagascar,TechLearning,MSPD,0.99964,1.00036
Navajo,Baseline,RO,0.21940666666666667,1.7805933333333333
Navajo,Baseline,ED,0.7805933333333334,1.2194066666666667
Navajo,EnergyPriceSpike,RO,0.22209,1.77791
Navajo,EnergyPriceSpike,ED,0.77791,1.22209
Navajo,RenewablesCheaper,RO,0.049805,1.950195
Navajo,RenewablesCheaper,ED,0.950195,1.049805
Navajo,BrineRegTightens,RO,0.20846833333333334,1.7915316666666667
Navajo,BrineRegTightens,ED,0.7915316666666666,1.2084683333333333
Navajo,TechLearning,RO,0.14358,1.85642
Navajo,TechLearning,ED,0.85642,1.14358
Namibia,Baseline,RO,0.0,3.474571666666667
Namibia,Baseline,ED,0.001095,2.7515616666666665
Namibia,Baseline,HDH,0.0,2.772771666666667
Namibia,Baseline,MSPD,0.998905,1.001095
Namibia,EnergyPriceSpike,RO,0.0,3.388325
Namibia,EnergyPriceSpike,ED,0.0008366666666666667,2.8325716666666665
Namibia,EnergyPriceSpike,HDH,0.0,2.7782666666666667
Namibia,EnergyPriceSpike,MSPD,0.9991633333333333,1.0008366666666666
Namibia,RenewablesCheaper,RO,0.0,3.608696666666667
Namibia,RenewablesCheaper,ED,0.0023766666666666667,2.3518916666666665
Namibia,RenewablesCheaper,HDH,0.0,3.037035
Namibia,RenewablesCheaper,MSPD,0.9976233333333333,1.0023766666666667
Namibia,BrineRegTightens,RO,0.0,3.4247966666666665
Namibia,BrineRegTightens,ED,0.0011066666666666666,2.7759116666666666
Namibia,BrineRegTightens,HDH,0.0,2.798185
Namibia,BrineRegTightens,MSPD,0.9988933333333333,1.0011066666666666
Namibia,TechLearning,RO,0.0,3.56863
Namibia,TechLearning,ED,0.003355,2.664416666666667
Namibia,TechLearning,HDH,2.5e-05,2.7635716666666665
Namibia,TechLearning,MSPD,0.99662,1.0033816666666666
IndiaInland,Baseline,RO,0.24391166666666667,1.7560883333333333
IndiaInland,Baseline,ED,0.7560883333333334,1.2439116666666667
IndiaInland,EnergyPriceSpike,RO,0.26005833333333334,1.7399416666666667
IndiaInland,EnergyPriceSpike,ED,0.7399416666666667,1.2600583333333333
IndiaInland,RenewablesCheaper,RO,0.046246666666666665,1.9537533333333332
IndiaInland,RenewablesCheaper,ED,0.9537533333333333,1.0462466666666668
IndiaInland,BrineRegTightens,RO,0.25720333333333334,1.7427966666666668
IndiaInland,BrineRegTightens,ED,0.7427966666666667,1.2572033333333332
IndiaInland,TechLearning,RO,0.15695666666666666,1.8430433333333334
IndiaInland,TechLearning,ED,0.8430433333333334,1.1569566666666666
Chennai,Baseline,RO,0.0,2.93368
Chennai,Baseline,HDH,0.0,2.06632
Chennai,Baseline,MSPD,1.0,1.0
Chennai,EnergyPriceSpike,RO,0.0,2.9375333333333336
Chennai,EnergyPriceSpike,HDH,0.0,2.0624666666666664
Chennai,EnergyPriceSpike,MSPD,1.0,1.0
Chennai,RenewablesCheaper,RO,0.0,2.924793333333333
Chennai,RenewablesCheaper,HDH,0.0,2.075206666666667
Chennai,RenewablesCheaper,MSPD,1.0,1.0
Chennai,BrineRegTightens,RO,0.0,2.92785
Chennai,BrineRegTightens,HDH,0.0,2.07215
Chennai,BrineRegTightens,MSPD,1.0,1.0
Chennai,TechLearning,RO,0.0,2.9530883333333335
Chennai,TechLearning,HDH,0.0,2.0469116666666665
Chennai,TechLearning,MSPD,1.0,1.0
